Murder,Rape,Kidnap,Dacoity/theft,Fraud,Sexual_harassment,Offences_against_state,Blocks,Villages,Clusters,Total_population,Urban_population,Sex_ratio,Overall_literacy,Female_lit,Male_lit,Area_sqkm,Total_crimes
180,180,15,418,192,563,0,15,142,93,2525637.0,65.05,1133.0,95.41,93.57,97.54,2961.0,6822
116,225,14,448,240,405,1,13,122,84,1979384.0,28.58,1040.0,96.4,95.67,97.17,2206.0,17897
88,309,8,616,379,947,8,15,128,136,4110956.0,44.19,1096.0,93.55,91.55,95.78,3554.0,18250
132,267,21,569,414,651,3,13,124,125,2810892.0,24.09,1067.0,88.49,84.99,92.27,4482.0,14889
113,190,13,462,292,289,0,9,64,60,1195537.0,11.0,1129.0,96.93,96.26,97.7,2652.0,8637
69,51,17,143,5,25,0,6,612,62,728677.0,7.8,1009.0,37.22,30.97,43.6,3182.0,1195
51,214,107,379,22,242,0,4,623,46,749521.0,27.4,975.0,69.08,57.89,80.1,3747.0,2797
86,393,187,297,40,300,5,10,1709,78,1701156.0,14.4,1021.0,78.29,69.71,87.1,9229.0,3754
63,204,27,342,11,116,0,7,708,78,1385659.0,14.7,981.0,50.23,43.07,57.3,5427.0,2988
121,496,191,589,73,832,2,10,1525,79,1575247.0,19.6,970.0,70.14,61.63,78.4,10043.0,7134
191,234,106,720,51,258,0,6,1128,70,1703562.0,25.4,838.0,76.59,63.96,87.2,4459.0,5002
205,669,366,4173,190,729,0,4,548,32,2368145.0,80.8,911.0,82.26,76.57,87.4,2772.0,16512
41,138,24,187,21,148,0,2,306,21,756993.0,34.4,951.0,65.28,57.12,73.1,3427.0,2043
99,234,181,449,35,328,0,8,1824,74,1762857.0,22.6,884.0,64.9,54.34,74.2,8687.0,4609
116,615,231,548,48,471,0,11,1910,99,2090306.0,24.4,966.0,72.21,63.38,80.8,11815.0,6536
81,138,109,212,16,236,0,7,988,56,1263703.0,19.8,913.0,70.92,59.9,81.0,7306.0,2790
89,102,71,272,23,159,0,3,686,34,786375.0,23.2,875.0,73.5,60.21,85.2,2902.0,2838
122,364,88,719,45,378,1,6,1167,59,1563107.0,28.9,941.0,70.53,58.27,82.1,7020.0,7659
95,417,341,1199,38,360,0,13,1626,114,2184672.0,18.9,961.0,60.57,49.69,71.1,8153.0,7724
47,273,75,153,14,287,0,7,851,51,704218.0,4.6,1004.0,65.47,53.49,77.6,7470.0,4033
97,369,173,602,31,280,2,5,1263,70,1240938.0,25.2,910.0,65.1,52.53,76.6,6390.0,4768
240,475,233,2568,143,862,29,5,791,56,2030543.0,62.7,862.0,77.93,68.29,86.3,4560.0,13178
27,141,79,140,10,117,1,3,522,24,570302.0,20.9,932.0,74.04,64.3,83.1,3334.0,2107
126,307,110,688,42,322,0,7,1014,54,1240975.0,31.4,912.0,76.52,67.04,85.2,6703.0,5061
342,786,507,8438,232,736,1,5,762,49,3272335.0,74.1,924.0,82.32,74.89,89.2,3898.0,24474
246,594,517,1744,133,766,11,8,1372,63,2460714.0,58.5,925.0,82.47,75.3,89.1,5211.0,13289
46,156,102,359,29,120,0,6,819,65,1024091.0,9.0,989.0,44.45,34.29,54.7,3600.0,3088
65,280,192,351,37,265,4,6,947,54,1291684.0,20.4,948.0,73.62,62.47,84.2,4950.0,3842
64,252,127,689,53,396,6,7,756,47,1309443.0,19.8,944.0,67.53,56.54,77.9,7352.0,4164
75,354,126,638,27,364,2,9,1208,98,1872413.0,16.0,963.0,63.98,53.68,74.0,8025.0,4763
